title,years,link
"Thames Police,",1859,"https://media.nga.gov/iiif/745ad78a-b68a-471b-840e-7a3aca144dd3/full/!588,600/0/default.jpg"
"Bibi Lalouette,",1859,"https://media.nga.gov/iiif/ecfc7866-17bb-45b1-bcc0-ced7f5eeaba7/full/!588,600/0/default.jpg"
"Venus,",1859,"https://media.nga.gov/iiif/3b4d74fb-9eab-4bfe-9ace-b562f773d3d4/full/!588,600/0/default.jpg"
"The Penny Boat,",1859,"https://media.nga.gov/iiif/b5e54d1d-1bd8-4520-83cc-861386013d36/full/!588,600/0/default.jpg"
"The Little Pool,",1861,"https://media.nga.gov/iiif/98e879e0-10da-43da-b0a6-52de277c2914/full/!588,600/0/default.jpg"
"Sketching, No.I,",1861,"https://media.nga.gov/iiif/c96b03ef-bd66-447c-94e2-17a7f57b3080/full/!588,600/0/default.jpg"
"Weary,",1863,"https://media.nga.gov/iiif/03eeade5-dabc-4674-a856-a793bb5e2fc1/full/!588,600/0/default.jpg"
"The Model Resting,",1870,"https://media.nga.gov/iiif/92fc20cc-b314-4438-bab1-db480c79f108/full/!588,600/0/default.jpg"
"Tatting,",c. 1873,"https://media.nga.gov/iiif/607aae73-e0d1-4a18-805a-0488367f994c/full/!588,600/0/default.jpg"
"The Boy,",c. 1873/1875,"https://media.nga.gov/iiif/98615817-a4cc-4682-b46f-ba091b99d85d/full/!588,600/0/default.jpg"
"The Little Forge,",1875,"https://media.nga.gov/iiif/9b22a66c-c3c2-4115-8061-e7c4dc5a344c/full/!588,600/0/default.jpg"
"Steamboats off the Tower,",1875,"https://media.nga.gov/iiif/6b19c829-aade-49b4-adc1-bc0a2d3cfd61/full/!588,600/0/default.jpg"
"Price's Candle-Works,",c. 1875,"https://media.nga.gov/iiif/368d4ad8-b304-4d0f-91ba-ffb6a522e809/full/!588,600/0/default.jpg"
"Wych Street,",1877,"https://media.nga.gov/iiif/ccea1ce4-e664-4daa-83c8-77d2a0530732/full/!588,600/0/default.jpg"
"The Thames Towards Erith,",c. 1877,"https://media.nga.gov/iiif/be9ab74f-629f-4fd4-bfb7-1bfe818f391f/full/!588,600/0/default.jpg"
"A Sketch from Billingsgate,",1878,"https://media.nga.gov/iiif/2ccc6343-523e-48f6-80ad-cbb4d5ce04f4/full/!588,600/0/default.jpg"
"The 'Adam and Eve', Old Chelsea,",1878,"https://media.nga.gov/iiif/3c479db8-5e12-43e7-b9c8-48a843339771/full/!588,600/0/default.jpg"
"Old Putney Bridge,",1879,"https://media.nga.gov/iiif/35a2a571-983b-4c81-a490-2054582f7234/full/!588,600/0/default.jpg"
"Nocturne,",1879/1880,"https://media.nga.gov/iiif/d33301a8-255b-4e1c-a909-9def458911c5/full/!588,600/0/default.jpg"
"The Traghetto, No.II,",1879/1880,"https://media.nga.gov/iiif/fcacb0f7-19f1-4895-a0ae-c5e1da61b3fd/full/!588,600/0/default.jpg"
"The Beggars,",1879/1880,"https://media.nga.gov/iiif/25b422fd-4cd9-45aa-a253-92cf921a6d46/full/!588,600/0/default.jpg"
"San Giorgio,",1880,"https://media.nga.gov/iiif/a5f90c9f-f6b6-4d79-bec8-5d3aa4beffba/full/!588,600/0/default.jpg"
"The Bridge,",1879/1880,"https://media.nga.gov/iiif/6e056736-2bd3-4d20-ab3c-1759e60b6ea4/full/!588,600/0/default.jpg"
"Fishing-Boat,",1880,"https://media.nga.gov/iiif/98da8868-3dfa-4c8d-9eb6-3fe45fc339c4/full/!588,600/0/default.jpg"
"Long Venice,",1879/1880,"https://media.nga.gov/iiif/05532b1a-21a9-4150-95cf-cdf2cd6b70a3/full/!588,600/0/default.jpg"
"Fish-Shop, Venice,",1880,"https://media.nga.gov/iiif/def3dc11-a28e-4cec-973b-a9cd177eba7b/full/!588,600/0/default.jpg"
"Temple,",c. 1880/1881,"https://media.nga.gov/iiif/e57b514c-e172-463a-817a-433354387a84/full/!588,600/0/default.jpg"
"Regent's Quadrant,",1880/1881,"https://media.nga.gov/iiif/6c0cd49b-9671-467e-9c71-56f000d85390/full/!588,600/0/default.jpg"
"Boats, Dordrecht,",1884,"https://media.nga.gov/iiif/40bc0b65-eabd-4e7e-a1b6-f94855ec0dea/full/!588,600/0/default.jpg"
"Saint James's Park,",c. 1884/1886,"https://media.nga.gov/iiif/87738f70-2436-4db4-b3a4-4ebefe2e8a11/full/!588,600/0/default.jpg"
"T.A. Nash's Fruit-Shop,",c. 1886,"https://media.nga.gov/iiif/b68c2124-ef9a-4958-bab2-9cbb88216b11/full/!588,600/0/default.jpg"
"Rag-Shop, Milman's Row,",c. 1886/1888,"https://media.nga.gov/iiif/67a17296-ab42-44b3-99bd-a846e8254f94/full/!588,600/0/default.jpg"
"Marbles,",c. 1887,"https://media.nga.gov/iiif/40e7361c-f2e7-4de2-b4d8-772466fd2f3f/full/!588,600/0/default.jpg"
"Fleur de Lys Passage,",c. 1886/1888,"https://media.nga.gov/iiif/f0f69585-ef53-4644-9b4d-95003925b13b/full/!588,600/0/default.jpg"
